Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South
DV-13045,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South
CM-12655,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West
AS-10240,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South
HE-14800,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South
CG-12521,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
DV-13046,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
CM-12656,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
AS-10241,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
HE-14801,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
CG-12522,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
DV-13047,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
CM-12657,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South
AS-10242,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West
HE-14802,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central
CG-12523,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central
DV-13048,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central
CM-12658,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West
AS-10243,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
HE-14803,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
CG-12524,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West
DV-13049,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central
CM-12659,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central
AS-10244,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East
HE-14804,Emily Burns,Consumer,United States,Orem,Utah,84057,West
CG-12525,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West
DV-13050,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West
CM-12660,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
AS-10245,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
HE-14805,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
CG-12526,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
DV-13051,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
CM-12661,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
AS-10246,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East
HE-14806,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central
CG-12527,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central
DV-13052,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central
CM-12662,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
AS-10247,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
HE-14807,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
CG-12528,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central
DV-13053,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central
CM-12663,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West
AS-10248,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South
HE-14808,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central
CG-12529,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central
DV-13054,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central
CM-12664,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East
